timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658794354925,228,Product Page,200,OK,Thread Group 1-1,text,true,,43387,396,1,1,https://www.webstaurantstore.com/outlet/178CBE84HC/55921.html,228,0,0
1658794370851,964,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145068,379,1,1,https://www.webstaurantstore.com/outlet.html,805,0,0
1658794382373,248,Product Page,200,OK,Thread Group 1-1,text,true,,47027,398,1,1,https://www.webstaurantstore.com/outlet/178GDC49FHCW/55947.html,248,0,0
1658794386295,738,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145219,379,1,1,https://www.webstaurantstore.com/outlet.html,588,0,0
1658794405796,496,Product Page,200,OK,Thread Group 1-1,text,true,,58770,398,1,1,https://www.webstaurantstore.com/outlet/351CRCPG48NL/55579.html,492,0,28
1658794409791,925,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145231,379,1,1,https://www.webstaurantstore.com/outlet.html,780,0,0
1658794416991,394,Product Page,200,OK,Thread Group 1-1,text,true,,48030,396,1,1,https://www.webstaurantstore.com/outlet/178CBE72HC/55945.html,394,0,0
1658794420213,747,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145023,379,1,1,https://www.webstaurantstore.com/outlet.html,590,0,0
1658794427038,211,Product Page,200,OK,Thread Group 1-1,text,true,,44079,396,1,1,https://www.webstaurantstore.com/outlet/178CBE48HC/55883.html,211,0,0
1658794427391,740,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145266,379,1,1,https://www.webstaurantstore.com/outlet.html,583,0,0
1658794428378,379,Product Page,200,OK,Thread Group 1-1,text,true,,45196,398,1,1,https://www.webstaurantstore.com/outlet/178GDICE24FB/54465.html,379,0,0
1658794438172,877,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145500,379,1,1,https://www.webstaurantstore.com/outlet.html,715,0,0
1658794453302,385,Product Page,200,OK,Thread Group 1-1,text,true,,45352,395,1,1,https://www.webstaurantstore.com/outlet/554CHAR60/56073.html,385,0,0
